name,taxid,ERR14789322,ERR14789323,ERR14789324,ERR14789325,ERR14789326,ERR14789327,ERR14789328,ERR14789329,ERR14789330,ERR14789331,ERR14789332,ERR14789333,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
                  Mardivirus,180252,,,,,,,,,0.13,,,,8830.0,Anatidae,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,dsDNA
                  Aureusvirus,186457,,,,0.11,0.03,,,,,,,,,,,,,,,,,,
              Ceduovirus,186532,,,,,,,,,,,0.07,,1359.0,Lactococcus cremoris,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Ceduovirus,unclassified Ceduovirus,,dsDNA
              Fromanvirus,186764,0.91,0.09,,,,,,,,,0.18,,1763.0,Mycobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Fromanvirus,,,dsDNA
                  Kobuvirus,194960,,,,,0.04,,,,,,0.1,,9534.0,Chlorocebus aethiops,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kodimesavirinae,Kobuvirus,
                Maculavirus,249185,,,,,,,,,,,0.05,,444401.0,Andrena haemorrhoa,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Maculavirus,unclassified Maculavirus,+ssRNA
          Whispovirus,249585,,0.09,,,,,,,,,,,,,,,,,,,,,
                Mamastrovirus,249588,,,,,0.04,,0.25,0.8,,,,,9606.0,Homo sapiens,Riboviria,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus melbournense,
                  Mimivirus,315393,,,,,,,,,,,0.09,,5755.0,Acanthamoeba castellanii,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Megamimivirinae,Mimivirus,
                  Phikmvvirus,477967,0.19,0.31,,,,,,,,,,,287.0,Pseudomonas aeruginosa,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Krylovirinae,Phikmvvirus,dsDNA
              Rauchvirus,542959,,,,0.04,0.04,,,,,0.41,0.1,0.15,518.0,Bordetella bronchiseptica,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Rauchvirus,Rauchvirus BPP1,,dsDNA
              Uetakevirus,542960,,,,,,,,,,,0.21,,550.0,Enterobacter cloacae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Uetakevirus,unclassified Uetakevirus,,dsDNA
              Bruynoghevirus,545932,,0.41,,,,,,,,,,,287.0,Pseudomonas aeruginosa,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Bruynoghevirus,,,dsDNA
                Ostreavirus,548686,,0.22,,,,,,,,,,,29159.0,Magallana gigas,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Malacoherpesviridae,Ostreavirus,Ostreavirus ostreidmalaco1,dsDNA
            Alphabaculovirus,558016,,0.6,,0.04,,,,,,0.12,0.06,,,,,,,,,,,,
                Kuravirus,680277,,0.25,,0.05,,,,,,,,,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Mktvariviridae,Gordonclarkvirinae,Kuravirus,dsDNA
                    Alphacoronavirus,693996,,,,,,,,,,,0.07,,,,,,,,,,,,
                  Bocaparvovirus,1507401,,,,,,,,,,,0.06,,188568.0,Aselliscus stoliczkanus,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Bocaparvovirus,
                Gemycircularvirus,1542744,,0.16,,0.19,,1.61,,,,,0.08,,9852.0,Alces alces,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemycircularvirus,Gemycircularvirus lepam1,
              Cheoctovirus,1623281,,,,,0.11,,,,,,,,1763.0,Mycobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Cheoctovirus,unclassified Cheoctovirus,,dsDNA
              Corndogvirus,1623285,,,,,0.04,,,,,,,,1763.0,Mycobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Corndogvirus,unclassified Corndogvirus,,dsDNA
              Detrevirus,1623287,,0.13,,,0.05,,,,,,,,287.0,Pseudomonas aeruginosa,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Detrevirus,Detrevirus D3,,dsDNA
              Dhillonvirus,1623289,,,,,,,,,,0.1,0.05,,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Dhillonvirus,unclassified Dhillonvirus,,dsDNA
                Moineauvirus,1623304,,,,,,,,,,,0.24,,1308.0,Streptococcus thermophilus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Aliceevansviridae,Moineauvirus,unclassified Moineauvirus,dsDNA
              Skunavirus,1623305,0.52,0.37,,0.61,0.23,1.08,0.69,0.71,1.34,1.12,1.17,0.87,1358.0,Lactococcus lactis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Skunavirus,unclassified Skunavirus,,dsDNA
              Lessievirus,1720323,0.18,,,,,,,,,,0.05,,32008.0,Burkholderia,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Lessievirus,Lessievirus bcep22,,dsDNA
              Hollowayvirus,1720324,0.2,,,,,,,,,0.2,0.07,,287.0,Pseudomonas aeruginosa,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Hollowayvirus,unclassified Hollowayvirus,,dsDNA
                  Agatevirus,1910931,0.16,,,,,,,,,,,,1408.0,Bacillus pumilus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Herelleviridae,Bastillevirinae,Agatevirus,dsDNA
                  Alphatrevirus,1910951,,,,,0.1,,,,,,0.09,,561.0,Escherichia,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Bullavirinae,Alphatrevirus,
                  Gequatrovirus,1910952,,,,,0.07,,,,,,0.21,,562.0,Escherichia coli,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Bullavirinae,Gequatrovirus,
                  Sinsheimervirus,1910954,,,,0.04,,,,,,,0.21,,99287.0,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Bullavirinae,Sinsheimervirus,
                  Kagunavirus,1910992,0.23,0.11,,0.12,0.1,0.38,,,0.46,0.6,0.39,0.83,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Sarkviridae,Guernseyvirinae,Kagunavirus,dsDNA
                  Cornellvirus,1910993,,0.08,,,,,,,,,0.08,,340188.0,Salmonella enterica subsp. enterica serovar Cerro,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Sarkviridae,Guernseyvirinae,Cornellvirus,dsDNA
                  Alphacarmovirus,1911599,,,,,,,,,,,0.09,,,,,,,,,,,,
                  Gammacarmovirus,1911601,,0.33,0.39,0.23,0.19,,,,0.16,0.15,0.13,,,,,,,,,,,,
                  Mosigvirus,1913652,,,,,,,,,,0.21,,,244319.0,Escherichia coli O26:H11,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Tevenvirinae,Mosigvirus,dsDNA
                  Gaprivervirus,1913654,,,,,,,,,,,0.06,,,,,,,,,,,,
              Vequintavirus,1914852,,,,0.09,0.06,,0.19,,,0.35,0.24,0.21,197.0,Campylobacter jejuni,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Vequintavirus,Vequintavirus PDX,Vequintavirus FFH2,dsDNA
              Obolenskvirus,1915205,,,,,,,,,,,0.08,,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Obolenskvirus,unclassified Obolenskvirus,,dsDNA
              Jilinvirus,1918725,0.23,,,,,,,,,,,,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Jilinvirus,unclassified Jilinvirus,,dsDNA
                  Gamaleyavirus,1920753,,0.13,,0.1,0.05,,,,,0.54,0.28,,1884818.0,Escherichia sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Enquatrovirinae,Gamaleyavirus,dsDNA
                  Litunavirus,1920762,,,,0.04,,,,0.34,,,0.08,,208964.0,Pseudomonas aeruginosa PAO1,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Migulavirinae,Litunavirus,dsDNA
                  Drulisvirus,1920774,,,,0.05,0.04,,,,0.16,0.31,0.29,0.29,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Slopekvirinae,Drulisvirus,dsDNA
                Webervirus,1920860,,,,,,,,,,,0.05,,548.0,Klebsiella aerogenes,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Drexlerviridae,Webervirus,Webervirus F20,dsDNA
              Septimatrevirus,1921544,,,,,,,,,,,0.1,,287.0,Pseudomonas aeruginosa,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Septimatrevirus,Septimatrevirus C1,Septimatrevirus sv73,dsDNA
                Gemykibivirus,1941236,0.42,0.19,,0.96,0.04,1.14,,0.34,,,0.14,,9662.0,Meles meles,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemykibivirus,Gemykibivirus badas1,
              Mudcatvirus,1982088,0.39,,,,,,,,,,0.1,,1771959.0,[Arthrobacter] sp. ATCC 21022,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Mudcatvirus,Mudcatvirus arcadia,,dsDNA
              Gordonvirus,1982152,0.79,,,,0.04,,,,,,0.09,,1667.0,Arthrobacter sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Gordonvirus,Gordonvirus breylor17,,dsDNA
              Pepyhexavirus,1982367,,,,0.04,0.05,,,,,0.1,0.1,0.31,1827.0,Rhodococcus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Pepyhexavirus,Pepyhexavirus pepy6,,dsDNA
              Titanvirus,1982573,,0.07,,,,,,,,,,,1414586.0,Rhodobacter capsulatus YW1,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Titanvirus,Titanvirus rcspartan,,dsDNA
              Coopervirus,1982898,,0.1,,0.04,0.08,0.34,,,,,,,246196.0,Mycolicibacterium smegmatis MC2 155,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Coopervirus,Coopervirus adawi,,dsDNA
                Gemykrogvirus,1985367,,,,,0.08,,,,,0.21,0.06,,7460.0,Apis mellifera,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemykrogvirus,Gemykrogvirus apime1,
                  Friunavirus,1985711,,,,0.04,,,2.12,0.58,,,0.26,,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Beijerinckvirinae,Friunavirus,dsDNA
                  Przondovirus,1985720,,,,,,,,,,,0.11,,573.0,Klebsiella pneumoniae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autotranscriptaviridae,Studiervirinae,Przondovirus,dsDNA
                  Pradovirus,1985733,,0.07,,0.04,0.03,,,,,,,,456327.0,Xanthomonas euvesicatoria,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autonotataviridae,Gujervirinae,Pradovirus,dsDNA
          Pandoravirus,2060084,0.53,,,,0.09,,0.46,,1.56,0.35,0.25,,,,,,,,,,,,
                  Kuttervirus,2169536,,,,,,,,,,,0.05,,550.0,Enterobacter cloacae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Ackermannviridae,Cvivirinae,Kuttervirus,dsDNA
              Limdunavirus,2169621,0.19,0.09,,0.2,0.09,,0.15,,0.34,0.19,0.19,,1243.0,Leuconostoc,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Limdunavirus,unclassified Limdunavirus,,dsDNA
              Unaquatrovirus,2169622,,,,,,,,,,0.1,0.07,,1245.0,Leuconostoc mesenteroides,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Unaquatrovirus,Unaquatrovirus uv1A4,,dsDNA
                  Ithacavirus,2169643,,,,0.05,,,,,,,0.06,,98360.0,Salmonella enterica subsp. enterica serovar Dublin,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Humphriesvirinae,Ithacavirus,dsDNA
                Sopolycivirus,2169646,,0.29,,0.04,,,,,,,,,111072.0,Lasius neglectus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Polycipiviridae,Sopolycivirus,Sopolycivirus lasii,
                Husavirus,2219049,,,,,0.05,,,,,,,,9606.0,Homo sapiens,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,unclassified Picornavirales,Husavirus,unclassified Husavirus,
                    Mobatvirus,2501367,,,,0.06,,,,,,,,,,,,,,,,,,,
              Bingvirus,2560103,,,,,,,,,,,0.05,,1916.0,Streptomyces lividans,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Bingvirus,Bingvirus bing,,dsDNA
              Bjornvirus,2560104,,0.09,,,,,,,,,,,306.0,Pseudomonas sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Bjornvirus,Bjornvirus bjorn,,dsDNA
                  Coguvirus,2560118,0.34,,,,,,,,,,,,93385.0,Brassica rapa subsp. chinensis,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Bunyaviricetes,Hareavirales,Phenuiviridae,Coguvirus,-ssRNA
              Eneladusvirus,2560128,,,,,,,,,,0.12,,,552.0,Erwinia amylovora,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Eneladusvirus,Eneladusvirus BF,,dsDNA
              Fipvunavirus,2560132,,,,0.09,0.04,,,,,,,,96345.0,Flavobacterium psychrophilum,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Fipvunavirus,unclassified Fipvunavirus,,dsDNA
              Gustavvirus,2560144,0.64,,,,,,,,,,,,2055.0,Gordonia terrae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Gustavvirus,Gustavvirus gustav,,dsDNA
              Krylovvirus,2560162,,0.16,,,,,,,,,,,303.0,Pseudomonas putida,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Krylovvirus,Krylovvirus tf,,dsDNA
                Locarnavirus,2560169,,,,0.04,0.03,,,0.37,0.2,,0.07,,1.0,root,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Marnaviridae,Locarnavirus,Locarnavirus jerichoensis,
                  Phimunavirus,2560202,,,,0.06,,,,,,,,,29471.0,Pectobacterium atrosepticum,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Corkvirinae,Phimunavirus,dsDNA
              Plaisancevirus,2560204,,,,,,,,1.41,,,,,303.0,Pseudomonas putida,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Plaisancevirus,Plaisancevirus PMW,,dsDNA
                Pollyceevirus,2560206,2.55,,,,,,,,,,,,223283.0,Pseudomonas syringae pv. tomato str. DC3000,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autonotataviridae,Pollyceevirus,Pollyceevirus Eisa9,dsDNA
              Polybotosvirus,2560207,,,,,,,,,,0.1,0.15,,358.0,Agrobacterium tumefaciens,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Polybotosvirus,Polybotosvirus Atuph07,,dsDNA
              Popoffvirus,2560208,0.88,0.1,,0.04,0.05,0.95,,,0.7,0.42,0.35,0.5,645.0,Aeromonas salmonicida,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Popoffvirus,Popoffvirus pv56,,dsDNA
              Rimavirus,2560214,,,,,,,,,,,0.08,,1911.0,Streptomyces griseus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Rimavirus,Rimavirus rima,,dsDNA
                Sanovirus,2560222,,,,,0.04,,,,,0.1,0.05,,40324.0,Stenotrophomonas maltophilia,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Casjensviridae,Sanovirus,unclassified Sanovirus,dsDNA
                Sugarlandvirus,2560233,,,,0.04,,,,,,,,,573.0,Klebsiella pneumoniae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Demerecviridae,Sugarlandvirus,Sugarlandvirus AmPhEK80,dsDNA
                Tulanevirus,2560244,,,,,,,,,,,0.06,,645.0,Aeromonas salmonicida,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Tulanevirus,Tulanevirus bteighttwo,dsDNA
              Vicosavirus,2560248,,0.63,,,,,,,,,,,564423.0,Pseudomonas tolaasii NCPPB 2192,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Vicosavirus,Vicosavirus NV1,,dsDNA
              Vieuvirus,2560250,,,,0.07,,,,,,,,,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Vieuvirus,unclassified Vieuvirus,,dsDNA
                  Pettyvirus,2731671,,,,,,,26.25,1.13,,,0.14,,,,,,,,,,,,
                  Daemvirus,2731672,,,,,,,5.02,0.49,,,0.1,,40214.0,Acinetobacter johnsonii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Beijerinckvirinae,Daemvirus,dsDNA
                  Bonnellvirus,2731932,,,,,,,5.22,,,,,,28141.0,Cronobacter sakazakii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Stentvirinae,Bonnellvirus,dsDNA
                Gajwadongvirus,2731941,,,,,,,,,,,0.07,,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autographivirales incertae sedis,Gajwadongvirus,Gajwadongvirus ECBP5,dsDNA
                  Loudonvirus,2732063,,,,,,,,,,,0.06,,,,,,,,,,,,
                  Andhravirus,2732589,1.6,,,,,,,,,,,,176279.0,Staphylococcus epidermidis RP62A,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Rountreeviridae,Rakietenvirinae,Andhravirus,dsDNA
                  Kayfunavirus,2732686,,,,0.04,0.03,,,,,0.36,0.22,0.54,1.0,root,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autotranscriptaviridae,Studiervirinae,Kayfunavirus,dsDNA
                  Pijolavirus,2732692,0.26,,,,,,,,,,,,,,,,,,,,,,
                Tunggulvirus,2732909,22.13,4.04,15.08,,,,,1.06,,,,,287.0,Pseudomonas aeruginosa,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Tunggulvirus,Tunggulvirus f2,dsDNA
                  Kotilavirus,2732921,,,,,,,2.57,,,,,,554.0,Pectobacterium carotovorum,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Corkvirinae,Kotilavirus,dsDNA
                  Stompvirus,2732922,,,,,,,,,,,0.06,,1778540.0,Dickeya fangzhongdai,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Corkvirinae,Stompvirus,dsDNA
                  Kirikabuvirus,2732923,0.63,9.65,,,,,,,,,,,46677.0,Pseudomonas agarici,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Krylovirinae,Kirikabuvirus,dsDNA
                Stubburvirus,2732924,,0.07,,,,,,,,,,,208964.0,Pseudomonas aeruginosa PAO1,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Stubburvirus,Stubburvirus LKA1,dsDNA
                  Vectrevirus,2732928,,,,,,,,,,,0.06,,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autosignataviridae,Molineuxvirinae,Vectrevirus,dsDNA
                  Koutsourovirus,2732938,0.31,0.07,0.3,0.07,0.1,,,,0.4,0.43,0.34,0.2,550.0,Enterobacter cloacae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Slopekvirinae,Koutsourovirus,dsDNA
                  Carltongylesvirus,2732960,,,,0.05,,,,0.49,0.19,0.22,0.25,0.31,511145.0,Escherichia coli str. K-12 substr. MG1655,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Chaseviridae,Cleopatravirinae,Carltongylesvirus,dsDNA
              Phapecoctavirus,2733124,,,,,,,3.48,,,,,,472.0,Acinetobacter sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Phapecoctavirus,unclassified Phapecoctavirus,,dsDNA
              Toutatisvirus,2733138,,,,,,,,,,,0.11,0.18,853.0,Faecalibacterium prausnitzii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Toutatisvirus,Toutatisvirus toutatis,,dsDNA
                Shizishanvirus,2733148,,0.1,,,,,,22.61,,,,,294.0,Pseudomonas fluorescens,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Shizishanvirus,Shizishanvirus phCDa,dsDNA
              Xuquatrovirus,2733151,,,,,0.03,,,,,,,,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Xuquatrovirus,unclassified Xuquatrovirus,,dsDNA
              Krampusvirus,2733184,,,,,,,,,,,0.05,0.15,104336.0,Microbacterium foliorum,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Krampusvirus,unclassified Krampusvirus,,dsDNA
              Lanavirus,2733185,0.52,,,,,,,,,,,,306.0,Pseudomonas sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Lanavirus,Lanavirus lana,,dsDNA
              Maxrubnervirus,2733193,3.31,0.16,,,,,,,,,,,129847.0,Pseudomonas grimontii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Maxrubnervirus,Maxrubnervirus PMBT3,,dsDNA
                Metamorphoovirus,2733195,,,,,,,,,,,0.08,,199592.0,Microbacterium paraoxydans,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Hodgkinviridae,Metamorphoovirus,Metamorphoovirus ariadne,dsDNA
                  Blattambidensovirus,2733224,,0.08,,,,,,,,0.1,0.09,,9433.0,Miniopterus schreibersii,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Densovirinae,Blattambidensovirus,
