name,taxid,ERR14789282,ERR14789283,ERR14789284,ERR14789285,ERR14789286,ERR14789287,ERR14789288,ERR14789289,ERR14789290,ERR14789291,ERR14789292,ERR14789293,ERR14789294,ERR14789295,ERR14789296,ERR14789297,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
              Dhillonvirus,1623289,,,,,,0.17,,,0.16,,0.12,,,,,0.08,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Dhillonvirus,unclassified Dhillonvirus,,dsDNA
                Brussowvirus,1623303,,,0.35,0.34,,,,,,,0.08,,,0.11,0.19,,1308.0,Streptococcus thermophilus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Aliceevansviridae,Brussowvirus,Brussowvirus bvO1205,dsDNA
                Moineauvirus,1623304,,,,,,,,,,,0.06,,,,,,1308.0,Streptococcus thermophilus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Aliceevansviridae,Moineauvirus,unclassified Moineauvirus,dsDNA
              Skunavirus,1623305,,0.36,0.33,0.36,0.29,0.22,0.7,0.14,0.13,0.15,0.21,0.38,0.12,0.08,0.28,0.17,1358.0,Lactococcus lactis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Skunavirus,unclassified Skunavirus,,dsDNA
                  Mammarenavirus,1653394,,,,,,,,,,,,,,,0.08,,1.0,root,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Bunyaviricetes,Hareavirales,Arenaviridae,Mammarenavirus,-ssRNA
              Lessievirus,1720323,,,,,,,,,,,0.03,,,,,,32008.0,Burkholderia,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Lessievirus,Lessievirus bcep22,,dsDNA
              Hollowayvirus,1720324,,,,,,,,,0.17,0.11,0.06,,,,,,287.0,Pseudomonas aeruginosa,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Hollowayvirus,unclassified Hollowayvirus,,dsDNA
                  Kayvirus,1857843,,,,,,,,,,,0.02,,,,,,1279.0,Staphylococcus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Herelleviridae,Twortvirinae,Kayvirus,dsDNA
                  Sinsheimervirus,1910954,,,,,,,,,,,0.03,,,,,,99287.0,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Bullavirinae,Sinsheimervirus,
                  Jerseyvirus,1910991,,0.59,0.19,,,,,0.56,0.83,0.13,0.03,0.25,,0.3,0.21,0.71,511145.0,Escherichia coli str. K-12 substr. MG1655,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Sarkviridae,Guernseyvirinae,Jerseyvirus,dsDNA
                  Kagunavirus,1910992,2.01,5.82,0.58,0.56,0.31,0.28,,1.28,8.04,0.45,0.39,1.29,0.96,0.88,1.43,7.84,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Sarkviridae,Guernseyvirinae,Kagunavirus,dsDNA
                  Cornellvirus,1910993,,0.98,0.56,,0.31,,,1.96,1.0,0.38,0.08,1.03,0.26,1.33,0.57,0.55,340188.0,Salmonella enterica subsp. enterica serovar Cerro,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Sarkviridae,Guernseyvirinae,Cornellvirus,dsDNA
                  Gammacarmovirus,1911601,,,,,0.43,,,,,,,0.26,0.18,,,,,,,,,,,,,,
                  Mosigvirus,1913652,,,,,,,,,,,0.02,,,,,,244319.0,Escherichia coli O26:H11,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Tevenvirinae,Mosigvirus,dsDNA
                  Gelderlandvirus,1913653,,,0.12,,,,,0.14,,,0.13,,,,0.1,,584.0,Proteus mirabilis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Tevenvirinae,Gelderlandvirus,dsDNA
                  Gaprivervirus,1913654,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,
                  Dhakavirus,1914165,,,,,,,,,,,0.03,,,,,,511693.0,Escherichia coli BL21,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Tevenvirinae,Dhakavirus,dsDNA
              Certrevirus,1914850,,,,,0.23,,,,,,0.03,,,0.05,,,28141.0,Cronobacter sakazakii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Certrevirus,Certrevirus CR3,,dsDNA
              Vequintavirus,1914852,,,,,,0.51,,,,,0.36,,,,,,197.0,Campylobacter jejuni,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Vequintavirus,Vequintavirus PDX,Vequintavirus FFH2,dsDNA
              Obolenskvirus,1915205,,,0.22,,,,,0.31,0.52,0.08,0.03,,0.26,1.13,0.21,0.35,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Obolenskvirus,unclassified Obolenskvirus,,dsDNA
                  Gamaleyavirus,1920753,,1.1,0.19,6.65,0.45,,,0.54,0.26,0.28,0.12,0.14,0.17,0.51,0.16,0.17,1884818.0,Escherichia sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Enquatrovirinae,Gamaleyavirus,dsDNA
                  Drulisvirus,1920774,1.06,1.64,0.95,0.37,0.26,0.95,0.21,1.13,0.88,0.41,1.51,0.47,0.36,1.07,0.58,0.51,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Slopekvirinae,Drulisvirus,dsDNA
                Webervirus,1920860,1.34,2.17,0.47,10.43,1.48,1.48,3.4,1.27,1.37,2.01,1.24,1.0,0.79,1.28,0.21,1.34,548.0,Klebsiella aerogenes,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Drexlerviridae,Webervirus,Webervirus F20,dsDNA
                  Tlsvirus,1920865,,,,,0.16,,,,,,0.07,,,,,,184912.0,Citrobacter sp. TSA-1,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Drexlerviridae,Tempevirinae,Tlsvirus,dsDNA
              Nonanavirus,1921122,,,0.37,,,,,,,,,,,,0.32,,2072463.0,Escherichia coli O78,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Nonanavirus,unclassified Nonanavirus,,dsDNA
              Septimatrevirus,1921544,,,,,,0.17,,,0.12,0.07,0.1,,,,,,287.0,Pseudomonas aeruginosa,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Septimatrevirus,Septimatrevirus C1,Septimatrevirus sv73,dsDNA
                Gemykibivirus,1941236,,0.56,0.16,0.58,13.66,,,0.29,0.15,0.06,0.1,0.44,0.18,0.22,0.15,0.26,9662.0,Meles meles,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemykibivirus,Gemykibivirus badas1,
                  Sepunavirus,1980928,,,,,,,,,,,0.03,,,,,,1282.0,Staphylococcus epidermidis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Herelleviridae,Twortvirinae,Sepunavirus,dsDNA
              Korravirus,1982076,,,,,,,,,,,0.01,,,,,,1667.0,Arthrobacter sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Korravirus,unclassified Korravirus,,dsDNA
              Mudcatvirus,1982088,,,,,,,,,0.12,0.08,0.14,,,,,0.11,1771959.0,[Arthrobacter] sp. ATCC 21022,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Mudcatvirus,Mudcatvirus arcadia,,dsDNA
                  Abidjanvirus,1982095,,,,,,,,,,,0.02,,,,,,47886.0,Pseudomonas luteola,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Mesyanzhinovviridae,Bradleyvirinae,Abidjanvirus,dsDNA
              Gordonvirus,1982152,,,,,,0.15,,,0.12,0.07,0.13,,,,,0.12,1667.0,Arthrobacter sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Gordonvirus,Gordonvirus breylor17,,dsDNA
              Gordtnkvirus,1982218,,,,,,,,,,,0.01,,,,,,410332.0,Gordonia malaquae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Gordtnkvirus,Gordtnkvirus gordtnk2,,dsDNA
              Nipunavirus,1982239,,0.2,,,,,,,,0.06,0.05,,,,,,287.0,Pseudomonas aeruginosa,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Nipunavirus,Nipunavirus quinobequin,Nipunavirus NP1,dsDNA
              Pahexavirus,1982251,,,,,,,,,,,0.02,,,,,,1747.0,Cutibacterium acnes,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Pahexavirus,unclassified Pahexavirus,,dsDNA
              Pepyhexavirus,1982367,,,0.09,,,0.17,,,0.14,0.13,0.17,,,0.08,,0.11,1827.0,Rhodococcus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Pepyhexavirus,Pepyhexavirus pepy6,,dsDNA
              Roufvirus,1982370,,,,,,,,0.13,,,,,,,,,728059.0,Aeromonas sp. IS4,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Roufvirus,Roufvirus pIS4A,,dsDNA
                  Johnsonvirus,1982576,,,,,,,,,,,0.02,,,,,,552.0,Erwinia amylovora,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Erskinevirinae,Johnsonvirus,dsDNA
              Likavirus,1982880,,,,,,,,,,,0.03,,,,,,1911.0,Streptomyces griseus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Likavirus,Likavirus aaronocolus,,dsDNA
              Fishburnevirus,1983734,,,,,,,,,,,0.12,,,,,,246196.0,Mycolicibacterium smegmatis MC2 155,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Fishburnevirus,Fishburnevirus arib1,,dsDNA
                  Mooglevirus,1985303,,,,,,,,,0.17,,0.03,,,0.1,,0.08,546.0,Citrobacter freundii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Andersonviridae,Ounavirinae,Mooglevirus,dsDNA
                  Jiaodavirus,1985325,,,,,,,,,0.17,,0.07,,,0.05,,,573.0,Klebsiella pneumoniae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Tevenvirinae,Jiaodavirus,dsDNA
                Slopekvirus,1985328,,,,,,2.86,,,,0.08,2.47,,0.16,0.07,,,548.0,Klebsiella aerogenes,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Slopekvirus,Slopekvirus eap3,dsDNA
                  Moonvirus,1985329,,,,,,,,,,,0.02,,,,,,546.0,Citrobacter freundii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Tevenvirinae,Moonvirus,dsDNA
                Gemykrogvirus,1985367,2.68,0.16,,,0.51,,,0.19,,,0.02,0.16,0.17,0.19,,0.08,7460.0,Apis mellifera,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemykrogvirus,Gemykrogvirus apime1,
                  Friunavirus,1985711,,,,,,,,0.11,,,0.04,,,0.77,,,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Beijerinckvirinae,Friunavirus,dsDNA
                  Przondovirus,1985720,,2.0,0.18,0.52,0.7,7.64,23.76,0.33,0.8,0.17,10.39,0.79,0.2,0.27,0.1,0.4,573.0,Klebsiella pneumoniae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autotranscriptaviridae,Studiervirinae,Przondovirus,dsDNA
                  Pradovirus,1985733,,0.17,,,0.16,,,0.12,0.16,0.23,0.14,,,0.11,0.06,0.09,456327.0,Xanthomonas euvesicatoria,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autonotataviridae,Gujervirinae,Pradovirus,dsDNA
          Pandoravirus,2060084,,,,,,,,,,,0.13,,,,0.15,,,,,,,,,,,,
                  Tupanvirus,2094720,,,0.25,,,0.21,,,,0.16,0.14,,,0.06,0.19,0.11,5756.0,Acanthamoeba sp.,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Megamimivirinae,Tupanvirus,
                  Agtrevirus,2169532,,,,,,,,0.13,0.21,,0.04,,,0.19,,0.1,61645.0,Enterobacter asburiae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Ackermannviridae,Aglimvirinae,Agtrevirus,dsDNA
                  Kuttervirus,2169536,,,,,,,,,,,0.05,,,0.07,,0.1,550.0,Enterobacter cloacae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Ackermannviridae,Cvivirinae,Kuttervirus,dsDNA
              Limdunavirus,2169621,,,0.08,,,,,0.13,,0.18,0.03,,,0.07,0.06,,1243.0,Leuconostoc,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Limdunavirus,unclassified Limdunavirus,,dsDNA
                Machinavirus,2169624,,,,,,,,,,,0.02,,,,,,552.0,Erwinia amylovora,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Chimalliviridae,Machinavirus,Machinavirus machina,dsDNA
                  Jwalphavirus,2169642,,,,,,,,,,0.07,,,,,,,85698.0,Achromobacter xylosoxidans,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Rothmandenesvirinae,Jwalphavirus,dsDNA
                  Ithacavirus,2169643,,,,,,,,,0.45,,0.02,,,0.06,,0.38,98360.0,Salmonella enterica subsp. enterica serovar Dublin,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Humphriesvirinae,Ithacavirus,dsDNA
                  Wizardvirus,2169658,,,,,,,,,,,0.03,,,,,,2055.0,Gordonia terrae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Stackebrandtviridae,Frickvirinae,Wizardvirus,dsDNA
                Porprismacovirus,2169663,,,,,,,0.19,,,,0.03,,,,,,1.0,root,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cremevirales,Smacoviridae,Porprismacovirus,Porprismacovirus alecas1,
                Husavirus,2219049,,,,,0.29,,,,,,,,,,,,9606.0,Homo sapiens,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,unclassified Picornavirales,Husavirus,unclassified Husavirus,
              Asteriusvirus,2560094,,,,,,,,,,0.06,0.07,,,,,0.08,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Asteriusvirus,Asteriusvirus av121Q,,dsDNA
