virus tax id,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,baltimore_class
1261100,77214.0,Eidolon helvum,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,Paramyxoviridae,-ssRNA
1977403,2148.0,Acholeplasma laidlawii,Monodnaviria,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Plectroviridae,Plectrovirus,
1589747,85698.0,Achromobacter xylosoxidans,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Steinhofvirus,Steinhofvirus sv8324,dsDNA
2723726,470868.0,Achromobacter marplatensis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Steinhofvirus,unclassified Steinhofvirus,dsDNA
2884451,85698.0,Achromobacter xylosoxidans,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Casjensviridae,Fengtaivirus,dsDNA
1416009,85698.0,Achromobacter xylosoxidans,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Rothmandenesvirinae,dsDNA
1589746,85698.0,Achromobacter xylosoxidans,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Steinhofvirus,Steinhofvirus JWX,dsDNA
2767570,85698.0,Achromobacter xylosoxidans,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Manovirus,Manovirus Mano,dsDNA
2591403,1389935.0,Achromobacter animicus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Moturavirus,Moturavirus motura,dsDNA
2796514,217203.0,Achromobacter spanius,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Casjensviridae,Gediminasvirus,dsDNA
2591040,85698.0,Achromobacter xylosoxidans,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Axyvirus,dsDNA
2753665,384659.0,Achyranthes bidentata,Riboviria,Orthornavirae,Pisuviricota,Stelpaviricetes,Patatavirales,Potyviridae,Potyvirus,
437444,269667.0,Acidianus convivator,Viruses incertae sedis,Ampullaviridae,Bottigliavirus,Bottigliavirus pozzuoliense,Bottigliavirus ABV,,,
1732173,2281.0,Sulfolobales,Viruses incertae sedis,Ampullaviridae,Bottigliavirus,Bottigliavirus puteoliense,Bottigliavirus ABV2,,,
1732174,2281.0,Sulfolobales,Viruses incertae sedis,Ampullaviridae,Bottigliavirus,Bottigliavirus krisuvikense,Bottigliavirus ABV3,,,
309181,315460.0,Acidianus sp. Acii26,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Itarudivirus,dsDNA
1732175,1.0,root,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus,dsDNA
1797140,1.0,root,Viruses incertae sedis,Bicaudaviridae,unclassified Bicaudaviridae,,,,,
1898550,269667.0,Acidianus convivator,Viruses incertae sedis,Bicaudaviridae,Bicaudavirus,Bicaudavirus pozzuoliense,,,,
1898549,2287.0,Saccharolobus solfataricus,Viruses incertae sedis,Bicaudaviridae,Bicaudavirus,unclassified Bicaudavirus,,,,
2972490,80868.0,Paracidovorax cattleyae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Peduoviridae,unclassified Peduoviridae,dsDNA
2010329,80869.0,Paracidovorax citrulli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Busanvirus,Busanvirus ACP17,dsDNA
2919552,40214.0,Acinetobacter johnsonii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Tevenvirinae,dsDNA
3075072,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Vieuvirus,unclassified Vieuvirus,dsDNA
3075073,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Obolenskvirus,unclassified Obolenskvirus,dsDNA
2920927,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Twarogvirinae,dsDNA
889876,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Obolenskvirus,Obolenskvirus AB1,dsDNA
3142671,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Beijerinckvirinae,dsDNA
2015804,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Obolenskvirus,Obolenskvirus AbP2,dsDNA
1092848,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Saclayvirus,unclassified Saclayvirus,dsDNA
2282400,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Vequintavirinae,unclassified Vequintavirinae,,dsDNA
2781361,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Lokivirus,Lokivirus IMEAB3,dsDNA
3241863,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Lokivirus,unclassified Lokivirus,dsDNA
154784,70347.0,Acinetobacter higginsii,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Duinviridae,Apeevirus,+ssRNA
1187128,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Obolenskvirus,Obolenskvirus AP22,dsDNA
1970374,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Lokivirus,Lokivirus loki,dsDNA
1792222,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Obolenskvirus,Obolenskvirus LZ35,dsDNA
3015924,262668.0,Acinetobacter beijerinckii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,unclassified Schitoviridae,dsDNA
3015925,1752076.0,Acinetobacter halotolerans,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Ackermannviridae,unclassified Ackermannviridae,dsDNA
3024148,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Dhillonvirus,unclassified Dhillonvirus,dsDNA
3029265,469.0,Acinetobacter,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Astrithrvirus,unclassified Astrithrvirus,dsDNA
1406780,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Presleyvirus,dsDNA
3090777,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,unclassified Straboviridae,dsDNA
2966626,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Slopekvirinae,dsDNA
1243183,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Obolenskvirus,Obolenskvirus AB2,dsDNA
2993912,472.0,Acinetobacter sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Phapecoctavirus,unclassified Phapecoctavirus,dsDNA
2315466,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Saclayvirus,Saclayvirus Aci011,dsDNA
2315467,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Saclayvirus,Saclayvirus Aci022,dsDNA
2315458,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Saclayvirus,Saclayvirus Aci05,dsDNA
1837876,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Metrivirus,Metrivirus ME3,dsDNA
2655002,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Exceevirus,dsDNA
1983409,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Obolenskvirus,Obolenskvirus WCHABP1,dsDNA
1965454,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Obolenskvirus,Obolenskvirus WCHABP12,dsDNA
1505225,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Obolenskvirus,Obolenskvirus AbC62,dsDNA
1221835,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Vieuvirus,Vieuvirus B1251,dsDNA
1628721,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Vieuvirus,Vieuvirus R3177,dsDNA
2764701,85363.0,Aconitum carmichaelii,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Betaflexiviridae,Quinvirinae,+ssRNA
2587557,261921.0,Acremonium sclerotigenum,Riboviria,Orthornavirae,Lenarviricota,Miaviricetes,Ourlivirales,Botourmiaviridae,Magoulivirus,+ssRNA
1776763,3625.0,Actinidia chinensis,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Bunyaviricetes,Elliovirales,Fimoviridae,-ssRNA
2839003,3627.0,Actinidia deliciosa,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,Rhabdoviridae,-ssRNA
2560282,3625.0,Actinidia chinensis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Betaflexiviridae,Trivirinae,+ssRNA
2715795,3627.0,Actinidia deliciosa,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Waikavirus,
2880361,1655.0,Actinomyces naeslundii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Dybvigvirus,Dybvigvirus Av1,dsDNA
279303,442459.0,Actinoplanes sp. SN223/29,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Aspduovirus,Aspduovirus Asp2,dsDNA
3051403,8168.0,Perca fluviatilis,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Bunyaviricetes,Elliovirales,Hantaviridae,-ssRNA
3403511,1.0,root,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,Ca. Heliusvirales,,dsDNA
92444,7460.0,Apis mellifera,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Dicistroviridae,Aparavirus,
340187,7029.0,Acyrthosiphon pisum,Riboviria,unclassified Riboviria,unclassified ssRNA viruses,unclassified ssRNA positive-strand viruses,,,,
1611877,9534.0,Chlorocebus aethiops,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Bunyaviricetes,Hareavirales,Phenuiviridae,-ssRNA
1590650,9238.0,Pygoscelis adeliae,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Gammapolyomavirus,
272636,8855.0,Cairina moschata,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,
1883104,4100.0,Nicotiana benthamiana,Riboviria,Orthornavirae,Kitrinoviricota,Tolucaviricetes,unclassified Tolucaviricetes,Tolivirales,Tombusviridae,+ssRNA
1293540,85585.0,Adoxophyes honmai,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Entomopoxvirinae,
224399,85585.0,Adoxophyes honmai,Viruses incertae sedis,Naldaviricetes,Lefavirales,Baculoviridae,Alphabaculovirus,Alphabaculovirus adhonmai,,
170617,85584.0,Adoxophyes,Viruses incertae sedis,Naldaviricetes,Lefavirales,Baculoviridae,Betabaculovirus,Betabaculovirus adoranae,,
542343,480707.0,Adoxophyes orana,Viruses incertae sedis,Naldaviricetes,Lefavirales,Baculoviridae,Alphabaculovirus,unclassified Alphabaculovirus,,
335103,9606.0,Homo sapiens,Riboviria,Orthornavirae,Duplornaviricota,Resentoviricetes,unclassified Resentoviricetes,Reovirales,Sedoreoviridae,dsRNA
1513196,7159.0,Aedes aegypti,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Hamaparvovirinae,
2230910,7159.0,Aedes aegypti,Riboviria,Orthornavirae,Negarnaviricota,Haploviricotina,Monjiviricetes,Mononegavirales,Xinmoviridae,-ssRNA
2010266,1.0,root,Riboviria,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Alphatotivirineae,Spiciviridae,dsRNA
390845,7160.0,Aedes albopictus,Riboviria,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Orthoflavivirus,+ssRNA
1962503,4100.0,Nicotiana benthamiana,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Comovirinae,
1913112,1430331.0,Geobacillus icigianus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Kamchatkavirus,Kamchatkavirus AP45,dsDNA
2495576,1377.0,Aerococcus viridans,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Herelleviridae,unclassified Herelleviridae,dsDNA
3038232,648.0,Aeromonas caviae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Casjensviridae,unclassified Casjensviridae,dsDNA
2911441,645.0,Aeromonas salmonicida,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Tulanevirus,dsDNA
2163976,380703.0,Aeromonas hydrophila subsp. hydrophila ATCC 7966,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autonotataviridae,Aerosvirus,dsDNA
2588097,196023.0,Aeromonas hydrophila subsp. hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Plateaulakevirus,Plateaulakevirus pv2L372D,dsDNA
2588515,196023.0,Aeromonas hydrophila subsp. hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Plateaulakevirus,Plateaulakevirus pv2L372X,dsDNA
2588098,948519.0,Aeromonas rivipollensis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Kunmingvirus,Kunmingvirus kv2D05,dsDNA
321023,645.0,Aeromonas salmonicida,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Biquartavirus,dsDNA
2588518,196023.0,Aeromonas hydrophila subsp. hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Plateaulakevirus,Plateaulakevirus pv4L372D,dsDNA
2588520,196023.0,Aeromonas hydrophila subsp. hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Plateaulakevirus,Plateaulakevirus pv4L372XY,dsDNA
2588517,196023.0,Aeromonas hydrophila subsp. hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Grimontviridae,Lahexavirus,dsDNA
2588099,948519.0,Aeromonas rivipollensis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Kunmingvirus,Kunmingvirus kv4D05,dsDNA
1932901,645.0,Aeromonas salmonicida,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Popoffvirus,Popoffvirus pv56,dsDNA
2919549,645.0,Aeromonas salmonicida,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Emmerichvirinae,dsDNA
2985286,647.0,Aeromonas sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Peduoviridae,Bielevirus,dsDNA
3141444,648.0,Aeromonas caviae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Chimalliviridae,Ferozepurvirus,dsDNA
2880362,644.0,Aeromonas hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Cinqassovirus,dsDNA
3076793,645.0,Aeromonas salmonicida,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Chimalliviridae,Chaoshanvirus,dsDNA
2951227,70856.0,Aeromonas popoffii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autographivirales incertae sedis,Yinyavirus,dsDNA
2906561,644.0,Aeromonas hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Casjensviridae,Sharonstreetvirus,dsDNA
1747286,644.0,Aeromonas hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autonotataviridae,Melnykvirinae,dsDNA
3404141,196023.0,Aeromonas hydrophila subsp. hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Demerecviridae,Shenzhenvirus,dsDNA
2698915,645.0,Aeromonas salmonicida,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Angelvirus,dsDNA
2182324,645.0,Aeromonas salmonicida,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Hendrixvirinae,unclassified Hendrixvirinae,,dsDNA
3101607,644.0,Aeromonas hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autotranscriptaviridae,Studiervirinae,dsDNA
3101605,644.0,Aeromonas hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Straboviridae,Chrysonvirus,dsDNA
2908630,654.0,Aeromonas veronii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Grimontviridae,Libingvirus,dsDNA
2911664,654.0,Aeromonas veronii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Chaseviridae,Nefertitivirinae,dsDNA
2593327,644.0,Aeromonas hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Chimalliviridae,Ludhianavirus,dsDNA
2510450,644.0,Aeromonas hydrophila,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autosignataviridae,Colwellvirinae,dsDNA
2908746,654.0,Aeromonas veronii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Yanchengvirus,Yanchengvirus pAEv1818,dsDNA
2904307,647.0,Aeromonas sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Plateaulakevirus,unclassified Plateaulakevirus,dsDNA
1978922,1569654.0,Aeromonas sp. A8-29,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Ackermannviridae,Tedavirus,dsDNA
754050,728059.0,Aeromonas sp. IS4,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Roufvirus,Roufvirus pIS4A,dsDNA
2723762,645.0,Aeromonas salmonicida,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Savitribaivirus,dsDNA
2201378,652.0,Aeromonas schubertii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Seuratvirus,unclassified Seuratvirus,dsDNA
3367373,196024.0,Aeromonas dhakensis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,unclassified Autographivirales,,dsDNA
2894367,382245.0,Aeromonas salmonicida subsp. salmonicida A449,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Peduoviridae,Piscesmortuivirus,dsDNA
2924889,2923419.0,Aeromonas sp. MR7,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Bolekvirus,dsDNA
2924891,2923420.0,Aeromonas sp. MR16,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autographivirales incertae sedis,Tolavirus,dsDNA
1932713,272557.0,Aeropyrum pernix K1,unclassified viruses,unclassified archaeal viruses,,,,,,
141904,666.0,Vibrio cholerae,Monodnaviria,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Affertcholeramvirus,
1963256,4071.0,Capsicum,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,
1399914,9785.0,Loxodonta africana,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Betapolyomavirus,
12480,9534.0,Chlorocebus aethiops,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,unclassified Polyomaviridae,
338079,9534.0,Chlorocebus aethiops,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Spumaretrovirinae,ssRNA-RT
1965064,107265.0,Cricetomys emini,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Arnidovirineae,Arteriviridae,
10497,6935.0,Ixodida,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,Asfarviridae,Asfivirus,
2838078,51426.0,Agapanthus,Riboviria,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Tungrovirus,dsDNA-RT
1945738,5341.0,Agaricus bisporus,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Endornaviridae,Alphaendornavirus,+ssRNA
1945739,5341.0,Agaricus bisporus,Riboviria,Orthornavirae,Lenarviricota,Howeltoviricetes,Cryppavirales,Mitoviridae,Unuamitovirus,+ssRNA
1945740,5341.0,Agaricus bisporus,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Fusariviridae,Alphafusarivirus,+ssRNA
1945747,5341.0,Agaricus bisporus,Riboviria,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Epsilonhypovirus,+ssRNA
944995,3670.0,Luffa aegyptiaca,Viruses incertae sedis,Alphasatellitidae,Geminialphasatellitinae,unclassified Begomovirus-associated alphasatellites,,,,
2755028,55598.0,Ageratum houstonianum,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Ilarvirus,+ssRNA
1175505,4100.0,Nicotiana benthamiana,Viruses incertae sedis,Tolecusatellitidae,Betasatellite,unclassified Betasatellite,,,,
3446381,68299.0,Ageratum conyzoides,Viruses incertae sedis,Tolecusatellitidae,Betasatellite,Betasatellite agerabueaense,,,,
187850,3888.0,Lathyrus oleraceus,Viruses incertae sedis,Alphasatellitidae,Geminialphasatellitinae,Colecusatellite,Colecusatellite ageravenae,,,
185750,68299.0,Ageratum conyzoides,Viruses incertae sedis,Tolecusatellitidae,Betasatellite,Betasatellite ageraflavi,,,,
1454227,183085.0,Synedrella nodiflora,Viruses incertae sedis,Alphasatellitidae,Geminialphasatellitinae,Colecusatellite,Colecusatellite ageravenachinaense,,,
329288,68299.0,Ageratum conyzoides,Viruses incertae sedis,Tolecusatellitidae,Betasatellite,Betasatellite ageraflavichinaense,,,,
1407058,183063.0,Parthenium hysterophorus,Viruses incertae sedis,Alphasatellitidae,Geminialphasatellitinae,Colecusatellite,Colecusatellite ageravenaindiaense,,,
