name,taxid,ERR14789175,ERR14789176,ERR14789177,ERR14789178,ERR14789179,ERR14789182,ERR14789183,ERR14789184,ERR14789185,ERR14789186,ERR14789187,ERR14789188,ERR14789189,ERR14789190,host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
                Norovirus,142786,,,,,,,,,,,,,0.16,0.14,9606.0,Homo sapiens,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,Norovirus,Norovirus norwalkense,
                Alphanodavirus,143920,1.38,1.1,,0.39,0.51,0.83,0.19,0.31,0.21,0.17,0.3,0.27,0.24,0.63,295550.0,Heteronychus arator,Riboviria,Orthornavirae,Kitrinoviricota,Magsaviricetes,Nodamuvirales,Nodaviridae,Alphanodavirus,Alphanodavirus heteronychi,+ssRNA
                Chlorovirus,181083,,,,,,,,,0.12,0.05,0.74,0.14,,,554066.0,Chlorella heliozoae,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Chlorovirus,Chlorovirus heliozoae,
                  Aureusvirus,186457,,,,,,,0.02,,,,,,,,,,,,,,,,,,
              Punavirus,186789,,,,,,,,,,0.07,0.28,0.15,,,561.0,Escherichia,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Punavirus,Punavirus P1,,dsDNA
              Lederbergvirus,186794,,,,,,,,,,0.1,,,,,439184.0,Escherichia coli RS218,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Lederbergvirus,unclassified Lederbergvirus,,dsDNA
                  Kobuvirus,194960,,,,,,,,,,,,,,0.12,9534.0,Chlorocebus aethiops,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kodimesavirinae,Kobuvirus,
                Maculavirus,249185,,,,,,,,,,0.08,,,,,444401.0,Andrena haemorrhoa,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Maculavirus,unclassified Maculavirus,+ssRNA
                Mamastrovirus,249588,,,,,,,,,,0.1,0.29,0.4,0.23,0.27,9606.0,Homo sapiens,Riboviria,Orthornavirae,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus melbournense,
              Rauchvirus,542959,,,1.28,,,,,,,,0.11,0.11,0.18,,518.0,Bordetella bronchiseptica,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Rauchvirus,Rauchvirus BPP1,,dsDNA
              Uetakevirus,542960,1.1,0.33,,,1.57,,0.05,0.16,0.13,0.14,0.35,0.3,0.3,0.26,550.0,Enterobacter cloacae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Uetakevirus,unclassified Uetakevirus,,dsDNA
            Betabaculovirus,558017,6.77,,,,,,,,,,,,,,,,,,,,,,,,
                Kuravirus,680277,,,,,,,,0.11,0.1,0.08,0.41,0.26,0.69,0.28,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Mktvariviridae,Gordonclarkvirinae,Kuravirus,dsDNA
                  Salivirus,688449,,,,0.42,,,0.02,,,0.13,,,,,9598.0,Pan troglodytes,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kodimesavirinae,Salivirus,
                    Betacoronavirus,694002,,,,0.35,,,,,,,,,,,,,,,,,,,,,
                Cyclovirus,742914,,0.28,,,0.54,,0.07,0.14,0.12,0.15,0.47,0.2,,,1.0,root,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Cyclovirus mchwa,
                  Felixounavirus,1198140,,,,,,,,,,0.06,,,,,991919.0,Escherichia coli O145:NM,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Andersonviridae,Ounavirinae,Felixounavirus,dsDNA
                  Bocaparvovirus,1507401,,,,,,,0.02,,,,0.26,,,,188568.0,Aselliscus stoliczkanus,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Parvovirinae,Bocaparvovirus,
                Gemycircularvirus,1542744,,1.04,,,,,0.11,0.16,,,0.18,1.26,0.27,0.24,9852.0,Alces alces,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemycircularvirus,Gemycircularvirus lepam1,
              Cheoctovirus,1623281,,,,,,,,0.32,,,,,0.52,,1763.0,Mycobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Cheoctovirus,unclassified Cheoctovirus,,dsDNA
              Corndogvirus,1623285,,,0.68,1.65,1.04,1.33,,0.13,,,0.19,,,,1763.0,Mycobacterium,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Corndogvirus,unclassified Corndogvirus,,dsDNA
              Pegunavirus,1623295,,0.24,,,0.34,,,,,,,,,,246196.0,Mycolicibacterium smegmatis MC2 155,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Pegunavirus,Pegunavirus suffolk,,dsDNA
              Skunavirus,1623305,0.9,0.29,,0.97,0.7,,0.09,0.31,0.42,0.34,1.86,1.99,0.69,0.92,1358.0,Lactococcus lactis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Skunavirus,unclassified Skunavirus,,dsDNA
                  Alphatrevirus,1910951,,,,,,,,,,0.08,,,,,561.0,Escherichia,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Bullavirinae,Alphatrevirus,
                  Gequatrovirus,1910952,,,,,,,,,,,0.13,,,0.18,562.0,Escherichia coli,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Bullavirinae,Gequatrovirus,
                  Jerseyvirus,1910991,,,,,,,0.02,0.14,0.12,0.06,,,0.23,0.12,511145.0,Escherichia coli str. K-12 substr. MG1655,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Sarkviridae,Guernseyvirinae,Jerseyvirus,dsDNA
                  Kagunavirus,1910992,6.17,1.78,3.24,2.28,3.91,,0.19,2.0,1.41,0.83,2.13,1.17,1.1,1.36,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Sarkviridae,Guernseyvirinae,Kagunavirus,dsDNA
                  Cornellvirus,1910993,1.58,0.33,,,,,0.04,0.4,0.22,0.07,0.28,0.41,0.52,0.17,340188.0,Salmonella enterica subsp. enterica serovar Cerro,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Sarkviridae,Guernseyvirinae,Cornellvirus,dsDNA
                  Alphacarmovirus,1911599,,0.24,,,,,0.02,,,0.05,,0.16,,0.21,,,,,,,,,,,
                  Gammacarmovirus,1911601,1.65,4.08,3.95,3.19,6.42,1.59,1.73,4.54,3.5,3.13,0.14,0.58,0.19,0.71,,,,,,,,,,,
              Certrevirus,1914850,,,,,,,,,,0.05,,,,,28141.0,Cronobacter sakazakii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Certrevirus,Certrevirus CR3,,dsDNA
              Seunavirus,1914851,,,,,,,,,,0.05,,,,,28141.0,Cronobacter sakazakii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Seunavirus,unclassified Seunavirus,,dsDNA
              Obolenskvirus,1915205,,,,,,,0.04,0.24,0.23,0.09,,0.11,0.18,0.09,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Obolenskvirus,unclassified Obolenskvirus,,dsDNA
                  Gamaleyavirus,1920753,0.49,0.49,1.96,0.46,1.82,0.71,0.07,1.02,0.96,0.64,1.12,0.96,0.62,0.79,1884818.0,Escherichia sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Enquatrovirinae,Gamaleyavirus,dsDNA
                  Drulisvirus,1920774,1.02,0.37,2.0,1.05,1.22,,0.09,0.66,0.38,0.26,0.95,0.71,0.72,0.53,470.0,Acinetobacter baumannii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Slopekvirinae,Drulisvirus,dsDNA
                Webervirus,1920860,1.2,0.91,3.14,2.42,3.26,1.53,0.15,1.84,1.25,0.73,0.87,0.68,0.8,0.5,548.0,Klebsiella aerogenes,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Drexlerviridae,Webervirus,Webervirus F20,dsDNA
                Gemykibivirus,1941236,1.74,3.05,1.05,10.59,1.56,4.53,1.91,2.66,1.52,1.24,2.72,5.8,4.42,3.14,9662.0,Meles meles,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemykibivirus,Gemykibivirus badas1,
              Mudcatvirus,1982088,,,,,,,,,,0.06,,,,,1771959.0,[Arthrobacter] sp. ATCC 21022,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Mudcatvirus,Mudcatvirus arcadia,,dsDNA
              Gordonvirus,1982152,,,,,,,,,,,,,,0.08,1667.0,Arthrobacter sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Gordonvirus,Gordonvirus breylor17,,dsDNA
              Pepyhexavirus,1982367,,,,,,,,,,,0.23,,,0.1,1827.0,Rhodococcus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Pepyhexavirus,Pepyhexavirus pepy6,,dsDNA
              Roufvirus,1982370,,,,,,,0.02,,0.12,0.12,0.11,0.19,,0.11,728059.0,Aeromonas sp. IS4,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Roufvirus,Roufvirus pIS4A,,dsDNA
                  Johnsonvirus,1982576,,,,,,,,,,,,0.12,,,552.0,Erwinia amylovora,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Erskinevirinae,Johnsonvirus,dsDNA
                Gemygorvirus,1985366,,0.18,,,,0.89,0.03,,,,,0.21,,,1.0,root,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemygorvirus,Gemygorvirus hydro1,
                Gemykrogvirus,1985367,,0.72,,0.6,,,0.05,0.16,0.13,0.06,,0.11,,,7460.0,Apis mellifera,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemykrogvirus,Gemykrogvirus apime1,
                  Przondovirus,1985720,,0.34,1.19,0.95,0.51,,0.04,0.38,0.24,0.16,0.41,0.43,0.45,0.19,573.0,Klebsiella pneumoniae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autotranscriptaviridae,Studiervirinae,Przondovirus,dsDNA
                  Pradovirus,1985733,,0.25,0.81,1.26,0.82,,0.06,0.37,0.21,0.18,0.22,0.24,0.16,0.12,456327.0,Xanthomonas euvesicatoria,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autonotataviridae,Gujervirinae,Pradovirus,dsDNA
          Pandoravirus,2060084,,,,,,,,,,0.13,0.56,,0.47,0.39,,,,,,,,,,,
              Limdunavirus,2169621,,,,,,,0.02,,,0.06,,,,0.07,1243.0,Leuconostoc,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Limdunavirus,unclassified Limdunavirus,,dsDNA
                  Ithacavirus,2169643,,,,,,,,,,,0.18,0.14,0.22,0.09,98360.0,Salmonella enterica subsp. enterica serovar Dublin,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Humphriesvirinae,Ithacavirus,dsDNA
              Brunovirus,2560108,,0.18,,,,,,,,,0.15,,,,59204.0,Salmonella enterica subsp. diarizonae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Brunovirus,Brunovirus SEN34,,dsDNA
                  Ceetrepovirus,2560111,,0.15,,,,,0.03,0.13,0.12,0.05,,,,,38305.0,Corynebacterium vitaeruminis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Zierdtviridae,Toshachvirinae,Ceetrepovirus,dsDNA
              Fipvunavirus,2560132,,,,,,,,,,,0.12,,,,96345.0,Flavobacterium psychrophilum,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Fipvunavirus,unclassified Fipvunavirus,,dsDNA
              Gustavvirus,2560144,,,,,,,,0.18,,,0.13,,,,2055.0,Gordonia terrae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Gustavvirus,Gustavvirus gustav,,dsDNA
                Locarnavirus,2560169,,,,,,,,,,,,0.39,3.58,1.47,1.0,root,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Marnaviridae,Locarnavirus,Locarnavirus jerichoensis,
                  Phimunavirus,2560202,,,,,,,,,,,0.14,,0.47,0.07,29471.0,Pectobacterium atrosepticum,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Corkvirinae,Phimunavirus,dsDNA
              Popoffvirus,2560208,,,,,,,,,,,0.15,0.14,0.48,0.08,645.0,Aeromonas salmonicida,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Popoffvirus,Popoffvirus pv56,,dsDNA
              Rimavirus,2560214,,,,,,,,,,0.05,0.13,,,,1911.0,Streptomyces griseus,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Rimavirus,Rimavirus rima,,dsDNA
                Sanovirus,2560222,,,0.48,,,,,,,,,,,,40324.0,Stenotrophomonas maltophilia,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Casjensviridae,Sanovirus,unclassified Sanovirus,dsDNA
                Gajwadongvirus,2731941,,0.18,,,,,,0.13,0.08,0.05,0.24,0.16,1.26,0.21,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autographivirales incertae sedis,Gajwadongvirus,Gajwadongvirus ECBP5,dsDNA
                  Apdecimavirus,2732676,0.49,,0.76,,,,,0.32,0.15,,0.24,0.33,0.47,0.13,,,,,,,,,,,
                  Foetvirus,2732682,,,,,,,,,,,,,0.23,,,,,,,,,,,,
                  Kayfunavirus,2732686,,0.17,0.76,,,,0.02,0.25,0.14,0.13,0.45,0.57,0.45,0.32,1.0,root,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autotranscriptaviridae,Studiervirinae,Kayfunavirus,dsDNA
                  Teetrevirus,2732693,,,,,,,,0.16,,,,0.12,,,543.0,Enterobacteriaceae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autotranscriptaviridae,Studiervirinae,Teetrevirus,dsDNA
                  Kotilavirus,2732921,,,,,,,,,,,0.12,,0.25,0.07,554.0,Pectobacterium carotovorum,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Corkvirinae,Kotilavirus,dsDNA
                  Stompvirus,2732922,0.45,0.19,,,,,0.02,,,,0.6,0.48,1.21,0.39,1778540.0,Dickeya fangzhongdai,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autoscriptoviridae,Corkvirinae,Stompvirus,dsDNA
                  Carltongylesvirus,2732960,,,,,,,,,,,0.12,,0.19,,511145.0,Escherichia coli str. K-12 substr. MG1655,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Chaseviridae,Cleopatravirinae,Carltongylesvirus,dsDNA
                  Pahsextavirus,2732963,,,,,,,,,,,0.12,,,,196024.0,Aeromonas dhakensis,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Chaseviridae,Nefertitivirinae,Pahsextavirus,dsDNA
                Derbicusvirus,2733102,,,,,,,0.02,,,,,0.12,,,28141.0,Cronobacter sakazakii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Chimalliviridae,Derbicusvirus,unclassified Derbicusvirus,dsDNA
              Xuquatrovirus,2733151,,,,,,,,,,,0.14,,,0.07,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Xuquatrovirus,unclassified Xuquatrovirus,,dsDNA
                Bertelyvirus,2733152,,,,,,,,,,,,,0.26,0.08,190650.0,Caulobacter vibrioides CB15,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Jeanschmidtviridae,Bertelyvirus,unclassified Bertelyvirus,dsDNA
              Lanavirus,2733185,,,,,,,,,,,,,0.15,,306.0,Pseudomonas sp.,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Lanavirus,Lanavirus lana,,dsDNA
                Metamorphoovirus,2733195,,,,0.35,,,0.02,,,0.06,,,,0.09,199592.0,Microbacterium paraoxydans,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Hodgkinviridae,Metamorphoovirus,Metamorphoovirus ariadne,dsDNA
                  Pefuambidensovirus,2733227,,,,,,,0.1,0.22,0.23,0.14,0.18,,,,301905.0,Ortmanniana pectorosa,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Densovirinae,Pefuambidensovirus,
                  Protoambidensovirus,2733228,,,,,,,,,,0.06,,,,,1.0,root,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Densovirinae,Protoambidensovirus,
                  Hepanhamaparvovirus,2733232,,,,,,,0.22,,,,,,,,139456.0,Penaeus chinensis,Monodnaviria,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Hamaparvovirinae,Hepanhamaparvovirus,
                Kujavirus,2841277,,,,,,,,,,,,,,0.11,127906.0,Vibrio cholerae O1,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Pantevenvirales,Ackermannviridae,Kujavirus,Kujavirus kuja,dsDNA
                Alehxovirus,2842364,,,,,,,,,,,,0.13,,0.13,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Alehxovirus,Alehxovirus humivicinum,+ssRNA
                Ashucavirus,2842389,,0.18,,,,,,,,,,,,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Ashucavirus,Ashucavirus caenicola,+ssRNA
              Akonivirus,2842540,0.67,0.24,1.05,,0.88,,0.02,0.34,0.13,0.08,0.17,0.16,0.19,0.2,104336.0,Microbacterium foliorum,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Akonivirus,Akonivirus akoni,,dsDNA
                  Aorunvirus,2842545,,,,,,,,,,,,,,0.1,246200.0,Ruegeria pomeroyi DSS-3,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Rhodovirinae,Aorunvirus,dsDNA
                Cbunavirus,2842586,1.42,0.51,,,,,0.04,0.32,0.43,0.2,1.06,1.17,1.9,0.76,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Cbunavirus,unclassified Cbunavirus,dsDNA
                Chimpavirus,2842596,,,,,,,0.06,,0.08,0.05,,0.48,,0.16,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Blumeviridae,Chimpavirus,Chimpavirus luticola,+ssRNA
                  Enterogokushovirus,2842667,,,,,,,,,,0.05,,,,,83333.0,Escherichia coli K-12,Monodnaviria,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Gokushovirinae,Enterogokushovirus,
                Gihfavirus,2842702,,,,,,,0.03,,,,,,0.14,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Gihfavirus,Gihfavirus chorovivens,+ssRNA
              Henunavirus,2842727,,,,,,,,,,,,,0.23,0.07,552.0,Erwinia amylovora,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Henunavirus,Henunavirus hena1,,dsDNA
                  Henuseptimavirus,2842728,,,,,,,,,,0.06,,,,,550.0,Enterobacter cloacae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Drexlerviridae,Tempevirinae,Henuseptimavirus,dsDNA
                Hihdivirus,2842731,,,,,,,0.02,,,,,0.19,0.18,0.16,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Hihdivirus,Hihdivirus caenenecus,+ssRNA
                Icumivirus,2842754,,,,,,,0.03,0.16,,0.09,,,,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Icumivirus,Icumivirus limivivens,+ssRNA
                  Inbricusvirus,2842758,,,,,,,,,,,0.15,,,0.1,663959.0,Pseudomonas syringae pv. avii,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Rothmandenesvirinae,Inbricusvirus,dsDNA
                Ineyimevirus,2842759,,,,,,,,,,,,,0.64,0.84,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Ineyimevirus,Ineyimevirus lutihabitans,+ssRNA
                Ishugivirus,2842767,,,,,,,0.03,,,,0.12,0.13,0.42,0.55,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Ishugivirus,Ishugivirus pelohabitans,+ssRNA
                  Kaypoctavirus,2842786,,,,,,,0.03,0.27,0.25,0.22,0.16,,,0.14,573.0,Klebsiella pneumoniae,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Enquatrovirinae,Kaypoctavirus,dsDNA
                Kemicevirus,2842792,0.45,0.47,,,,,0.08,0.15,0.31,0.07,0.26,0.37,0.18,0.39,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Kemicevirus,Kemicevirus caenicola,+ssRNA
              Kenoshavirus,2842796,,0.21,,,0.44,,,,,0.07,0.16,0.17,,0.12,36822.0,Gordonia rubripertincta,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Kenoshavirus,unclassified Kenoshavirus,,dsDNA
                Kinglevirus,2842802,,,,,,,0.02,,,0.06,,0.13,0.26,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Kinglevirus,Kinglevirus lutadaptatum,+ssRNA
                Kohmavirus,2842807,,0.32,,,,,0.04,,,,0.15,0.62,0.39,0.24,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Duinviridae,Kohmavirus,Kohmavirus luticola,+ssRNA
                Kowinovirus,2842810,,,,,,,0.02,,,,,,,,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Kowinovirus,Kowinovirus pelenecus,+ssRNA
                Littlefixvirus,2842828,,,,,,,,,,,,0.75,,,294.0,Pseudomonas fluorescens,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Schitoviridae,Littlefixvirus,Littlefixvirus 98Pflur60pp,dsDNA
              Mydovirus,2842888,,0.15,,,,,0.03,0.18,0.15,0.23,0.17,0.15,,0.18,562.0,Escherichia coli,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudoviricetes incertae sedis,Mydovirus,unclassified Mydovirus,,dsDNA
                Nehpavirus,2842897,,,,,,,0.03,,,,0.22,0.37,0.38,0.16,1.0,root,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Blumeviridae,Nehpavirus,Nehpavirus caenenecus,+ssRNA
